platform_id,source_name,lon,lat,x_m,y_m,nearest_hazard_id,nearest_hazard_distance_m,meets_500m_safety_distance,outside_fixed_no_fly_zones,uav_type,prototype
P01,平台1蓝色三角形,121.633191747023,30.0339487256239,601.8754981082028,6948.557126735714,H01,2102.7752842079453,True,True,Type A,DJI Matrice 4T
P02,平台2黄色三角形,121.656028610095,30.0057307290011,2803.169066170241,3829.3397800514017,H05,1283.1406931387085,True,True,Type B,RY-V30
P03,平台3绿色三角形,121.670236985806,29.9878238682232,4172.74447443041,1849.9153896620853,H04,1120.5409152580166,True,True,Type C,TR100
P04,平台4,121.650420932614,30.0342306166947,2262.633164553932,6979.7173657018,H01,1091.8982093215127,True,True,Type B,RY-V30
P05,平台5,121.661389945193,30.0282242566354,3319.959504078247,6315.774324746889,H02,1377.9600763493506,True,True,Type C,TR100
