route,platform,uav_id,edge_seq,from_node_id,to_node_id,direct_distance_km,safe_detour_distance_km,straight_segment_intersects_nfz,detoured,wkt
Route 2,P02,UAV-B01,19,M027,M026,0.32073451390347724,0.32073451390347724,0,0,"LINESTRING(2854.072 4798.297, 2594.793 4609.499)"
Route 2,P02,UAV-B01,20,M026,M023,0.5509310701237409,0.5509310701237409,0,0,"LINESTRING(2594.793 4609.499, 3084.246 4356.594)"
Route 2,P02,UAV-B01,21,M023,M022,0.5484729688492012,0.5484729688492012,0,0,"LINESTRING(3084.246 4356.594, 3424.657 3926.544)"
Route 2,P02,UAV-B01,22,M022,M021,0.2460528593004408,0.2460528593004408,0,0,"LINESTRING(3424.657 3926.544, 3267.712 3737.044)"
Route 2,P02,UAV-B01,23,M021,P02,0.47362301359629766,0.47362301359629766,0,0,"LINESTRING(3267.712 3737.044, 2803.169 3829.340)"
Route 3,P03,UAV-C01,1,P03,M051,1.5476819848149812,1.5476819848149812,0,0,"LINESTRING(4172.744 1849.915, 2726.624 2401.328)"
Route 3,P03,UAV-C01,2,M051,M050,0.4523211283854808,0.4523211283854808,0,0,"LINESTRING(2726.624 2401.328, 2355.212 2143.166)"
Route 3,P03,UAV-C01,3,M050,M049,0.40220300752144256,0.40220300752144256,0,0,"LINESTRING(2355.212 2143.166, 2022.804 1916.733)"
Route 3,P03,UAV-C01,4,M049,M048,0.519258888425568,0.519258888425568,0,0,"LINESTRING(2022.804 1916.733, 1730.861 2346.150)"
Route 3,P03,UAV-C01,5,M048,M054,0.4875728585059236,0.4875728585059236,0,0,"LINESTRING(1730.861 2346.150, 2151.388 2592.899)"
Route 3,P03,UAV-C01,6,M054,M055,0.4675303255246753,0.4675303255246753,0,0,"LINESTRING(2151.388 2592.899, 1869.409 2965.824)"
Route 3,P03,UAV-C01,7,M055,M047,0.7015612086070818,0.7015612086070818,0,0,"LINESTRING(1869.409 2965.824, 1194.412 3157.047)"
Route 3,P03,UAV-C01,8,M047,M046,1.0012295217540528,1.0012295217540528,0,0,"LINESTRING(1194.412 3157.047, 627.001 3981.975)"
Route 3,P03,UAV-C01,9,M046,M045,0.46839055093228626,0.46839055093228626,0,0,"LINESTRING(627.001 3981.975, 833.410 4402.433)"
Route 3,P03,UAV-C01,10,M045,M044,0.3093231761275634,0.3093231761275634,0,0,"LINESTRING(833.410 4402.433, 1082.588 4585.712)"
Route 3,P03,UAV-C01,11,M044,M043,0.3885594243602101,0.3885594243602101,0,0,"LINESTRING(1082.588 4585.712, 1288.904 4914.972)"
Route 3,P03,UAV-C01,12,M043,M040,3.573094576023931,3.7445631250287787,1,1,"LINESTRING(1288.904 4914.972, 1288.904 5062.555, 1113.109 5062.555, 1113.109 8483.740)"
Route 3,P03,UAV-C01,13,M040,M041,0.9387079884951506,0.9387079884951506,0,0,"LINESTRING(1113.109 8483.740, 1687.147 7741.006)"
Route 3,P03,UAV-C01,14,M041,M042,1.4572393804529715,1.4572393804529715,0,0,"LINESTRING(1687.147 7741.006, 2258.213 6400.324)"
Route 3,P03,UAV-C01,15,M042,M059,2.214804390586942,3.583090508623596,1,1,"LINESTRING(2258.213 6400.324, 2623.442 6400.324, 2623.442 4327.245, 1478.659 4327.245)"
Route 3,P03,UAV-C01,16,M059,M058,0.4699772859877846,0.4699772859877846,0,0,"LINESTRING(1478.659 4327.245, 1114.246 4030.460)"
Route 3,P03,UAV-C01,17,M058,M060,0.8099278485315468,0.8099278485315468,0,0,"LINESTRING(1114.246 4030.460, 1923.696 4002.635)"
Route 3,P03,UAV-C01,18,M060,M057,0.38992655131580783,0.38992655131580783,0,0,"LINESTRING(1923.696 4002.635, 1938.783 3613.000)"
Route 3,P03,UAV-C01,19,M057,M056,0.5563220351717174,0.5563220351717174,0,0,"LINESTRING(1938.783 3613.000, 2466.415 3436.650)"
Route 3,P03,UAV-C01,20,M056,M053,0.4530673792684017,0.4530673792684017,0,0,"LINESTRING(2466.415 3436.650, 2811.697 3143.308)"
Route 3,P03,UAV-C01,21,M053,M052,0.38749771548794515,0.38749771548794515,0,0,"LINESTRING(2811.697 3143.308, 3034.854 2826.518)"
Route 3,P03,UAV-C01,22,M052,P03,1.4995157752152555,1.4995157752152555,0,0,"LINESTRING(3034.854 2826.518, 4172.744 1849.915)"
Route 4,P04,UAV-B02,1,P04,M073,1.1105720036119016,1.1105720036119016,0,0,"LINESTRING(2262.633 6979.717, 2908.823 6076.496)"
Route 4,P04,UAV-B02,2,M073,M072,0.8050402206537629,0.8050402206537629,0,0,"LINESTRING(2908.823 6076.496, 3377.709 5422.098)"
Route 4,P04,UAV-B02,3,M072,M069,0.8543148482308807,0.8543148482308807,0,0,"LINESTRING(3377.709 5422.098, 3469.342 4572.712)"
Route 4,P04,UAV-B02,4,M069,M066,2.08212851941933,2.08212851941933,0,0,"LINESTRING(3469.342 4572.712, 3360.379 2493.437)"
Route 4,P04,UAV-B02,5,M066,M065,0.5973089067344513,0.5973089067344513,0,0,"LINESTRING(3360.379 2493.437, 3713.836 2011.933)"
Route 4,P04,UAV-B02,6,M065,M064,0.47656167148946993,0.47656167148946993,0,0,"LINESTRING(3713.836 2011.933, 4120.926 2259.701)"
Route 4,P04,UAV-B02,7,M064,M061,0.5849662239360921,0.5849662239360921,0,0,"LINESTRING(4120.926 2259.701, 4492.738 1808.102)"
Route 4,P04,UAV-B02,8,M061,M062,0.40075596749286496,0.40075596749286496,0,0,"LINESTRING(4492.738 1808.102, 4805.580 2058.572)"
Route 4,P04,UAV-B02,9,M062,M063,0.5320011447205835,0.5320011447205835,0,0,"LINESTRING(4805.580 2058.572, 4493.517 2489.433)"
Route 4,P04,UAV-B02,10,M063,M067,0.7301353310823344,0.7301353310823344,0,0,"LINESTRING(4493.517 2489.433, 3834.963 2804.718)"
Route 4,P04,UAV-B02,11,M067,M068,0.8366921565199873,0.8366921565199873,0,0,"LINESTRING(3834.963 2804.718, 3646.371 3619.879)"
Route 4,P04,UAV-B02,12,M068,M070,1.2045195240608104,1.2045195240608104,0,0,"LINESTRING(3646.371 3619.879, 3801.010 4814.431)"
Route 4,P04,UAV-B02,13,M070,M078,0.5565643770086673,0.5565643770086673,0,0,"LINESTRING(3801.010 4814.431, 4355.882 4771.055)"
Route 4,P04,UAV-B02,14,M078,M076,0.5494240748350022,0.5494240748350022,0,0,"LINESTRING(4355.882 4771.055, 4493.574 5302.946)"
Route 4,P04,UAV-B02,15,M076,M077,0.29077611983728135,0.29077611983728135,0,0,"LINESTRING(4493.574 5302.946, 4207.961 5248.394)"
Route 4,P04,UAV-B02,16,M077,M071,0.5933197905271511,0.5933197905271511,0,0,"LINESTRING(4207.961 5248.394, 3750.938 5626.758)"
Route 4,P04,UAV-B02,17,M071,M075,0.43359593538673524,0.43359593538673524,0,0,"LINESTRING(3750.938 5626.758, 4114.701 5862.728)"
Route 4,P04,UAV-B02,18,M075,M074,0.8335675540444284,0.8335675540444284,0,0,"LINESTRING(4114.701 5862.728, 3608.223 6524.781)"
Route 4,P04,UAV-B02,19,M074,P04,1.4204152767072393,1.4204152767072393,0,0,"LINESTRING(3608.223 6524.781, 2262.633 6979.717)"
Route 5,P05,UAV-C02,1,P05,M079,1.8718482189887227,1.8718482189887227,0,0,"LINESTRING(3319.960 6315.774, 4112.395 4619.938)"
Route 5,P05,UAV-C02,2,M079,M080,0.46016618235504914,0.46016618235504914,0,0,"LINESTRING(4112.395 4619.938, 3722.147 4376.094)"
Route 5,P05,UAV-C02,3,M080,M081,1.2192061236748883,1.2192061236748883,0,0,"LINESTRING(3722.147 4376.094, 4036.677 3198.158)"
Route 5,P05,UAV-C02,4,M081,M082,1.020692346424804,1.020692346424804,0,0,"LINESTRING(4036.677 3198.158, 4853.714 2586.388)"
Route 5,P05,UAV-C02,5,M082,M083,0.6864246854600693,0.6864246854600693,0,0,"LINESTRING(4853.714 2586.388, 5386.451 2153.525)"
