group,level,runs,objective_wan_mean,objective_wan_sd,objective_wan_ci95,open_platforms_mean,open_platforms_sd,open_platforms_ci95,deployed_uavs_mean,deployed_uavs_sd,deployed_uavs_ci95,coverage_rate_pct_mean,coverage_rate_pct_sd,coverage_rate_pct_ci95,estimated_makespan_h_mean,estimated_makespan_h_sd,estimated_makespan_h_ci95,total_route_distance_km_mean,total_route_distance_km_sd,total_route_distance_km_ci95,min_energy_margin_Wh_mean,min_energy_margin_Wh_sd,min_energy_margin_Wh_ci95
beta,0.8,10,107.6170036190745,3.8643170279209644,2.764173819161658,2.0,0.0,0.0,2.0,0.0,0.0,100.0,0.0,0.0,14.08473994300193,1.6030029261879588,1.1466395455116654,111.86030692449772,6.020766652598566,4.306697776643938,6.649169977826432,8.447088356177636,6.04226317705967
beta,0.85,10,107.61691023785954,3.8644245873272998,2.7642507571801618,2.0,0.0,0.0,2.0,0.0,0.0,100.0,0.0,0.0,12.796023950608845,2.215988211508145,1.5851123377206933,110.69304173768562,3.6615569974009623,2.619138108093888,6.92167658191488,2.659994941435708,1.9027135514745384
beta,0.9,10,106.81719172405383,4.131286775488515,2.95513920357564,2.0,0.0,0.0,2.0,0.0,0.0,100.0,0.0,0.0,13.647082181138549,2.3499414830303946,1.6809300782056305,114.8965506727649,4.448192651835934,3.181824260782062,9.29309135519694,7.780357155071781,5.565345543956845
beta,0.95,10,105.21721914731324,4.131242067476004,2.9551072236120914,2.0,0.0,0.0,2.0,0.0,0.0,100.0,0.0,0.0,14.251009119826701,2.1168666604950195,1.5142099779387406,116.60920442933704,5.216361814813463,3.7313011990477074,10.749395003378982,6.765435311229477,4.839364634788656
beta,0.99,10,104.4171188813145,3.8648691063664518,2.764568724852396,2.0,0.0,0.0,2.0,0.0,0.0,100.0,0.0,0.0,15.094891646595858,1.5133485758746714,1.0825091426178668,116.04081095156573,3.5609078184946106,2.5471430250707088,8.616357860750146,0.9110666179869189,0.6516925176572506
