Configuration,UAV type setting,Runs,Valid runs,BKS,Mean total cost (10^4 RMB),Dev. from BKS (%),Standard deviation,CV (%),Mean completion time (h),Mean open platforms,Mean deployed UAVs,Mean coverage rate (%),Feasibility rate (%),Average route length (km),Mean computational time (s)
All-light,Type A only,10,10,148.64454919031192,148.64454919031192,0.0,1.049641192903859,0.7061417311441317,10.11753051382061,4.0,4.0,99.2,100.0,4.197880039870388,1.359261393547058
All-medium,Type B only,10,10,148.64454919031192,190.05347752178994,27.85768368704965,0.003612317727981494,0.0019006848888452124,11.607498357273688,4.0,4.0,100.0,100.0,4.857057476761641,1.0028184652328491
All-heavy,Type C only,10,10,148.64454919031192,216.47137583685222,45.63021450567996,11.3800288945667,5.2570594382619324,17.54363669861221,4.0,4.0,100.0,100.0,6.83947592958333,1.1067493200302123
Heterogeneous,Type A + Type B + Type C,10,10,148.64454919031192,165.84982511804304,11.57477756261546,20.32314530235057,12.253944366770146,10.971007682857515,4.0,4.0,100.0,100.0,4.65155886459077,1.2326662063598632
